//적 객체형 이름(class명),적 출현 시간(스테이지가 시작되고서 흐른시간) , 시작위치(x좌표) , 시작위치(y좌표),도착위치(x좌표),도착위치(y좌표),아이템 이름,아이템 갯수
Enemy1,1,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,1,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy1,2,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,2,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy1,3,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,3,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy1,4,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,4,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy1,5,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,5,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy1,6,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,6,-9.5,2.9,9.5,-3.8,Item_PowerUp,1
Enemy2,7,-6.86,5.57,-6.86,2.07,null,0
Enemy2,7,-3.86,5.57,-3.86,2.07,null,0
Enemy2,9,-1.86,5.57,-1.86,2.07,Item_BombUp,1
Enemy2,9,1.86,5.57,1.86,2.07,null,0
Enemy3,12,-4.4,5.4,-4.4,3,Item_PowerUp,2
Enemy1Fast,14,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,14,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,14,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,14,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,15,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,15,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,15,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,15,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,16,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,16,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,16,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,16,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,17,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,17,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,17,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,17,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,18,3.54,2.0,-12.0,2.0,Item_PowerUp,1
Enemy1Fast,18,-9.5,1.0,9.5,1.0,Item_PowerUp,1
Enemy1Fast,18,3.54,0.0,-12.0,0.0,Item_PowerUp,1
Enemy1Fast,18,-9.5,-1.0,9.5,-1.0,Item_PowerUp,1
Enemy1Fast,19,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,19,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,19,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,19,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,20,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,20,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,20,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,20,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,21,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,21,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,21,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,21,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,22,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,22,-9.5,1.0,9.5,1.0,null,0
Enemy1Fast,22,3.54,0.0,-12.0,0.0,null,0
Enemy1Fast,22,-9.5,-1.0,9.5,-1.0,null,0
Enemy1Fast,23,3.54,2.0,-12.0,2.0,null,0
Enemy1Fast,23,-9.5,1.0,9.5,1.0,Item_PowerUp,1
Enemy1Fast,23,3.54,0.0,-12.0,0.0,Item_PowerUp,1
Enemy1Fast,23,-9.5,-1.0,9.5,-1.0,Item_PowerUp,1
Enemy2,25,-9.3,3,-5,3,null,0
Enemy2,26,-9.3,1,-7.5,1,null,0
Enemy2,27,3,3,0,3,Item_BombUp,1
Enemy2,28,3,1,2,1,null,0
Enemy3,30,-4.4,5.4,0.4,3,null,0
Enemy3,31,0.4,5.4,-4.4,3,null,0
Enemy3,32,-2.4,5.4,-2.4,3,Item_BombUp,1
Boss1,34,-9.62,4.72,-2.4,2.07,null,0
