//적 객체형 이름(class명),적 출현 시간(스테이지가 시작되고서 흐른시간) , 시작위치(x좌표) , 시작위치(y좌표),도착위치(x좌표),도착위치(y좌표),아이템 이름,아이템 갯수
Enemy2,0,-6.86,5.57,-6.86,2.07,null,0
Enemy2,0,-3.86,5.57,-3.86,2.07,null,0
Enemy2,0,-1.86,5.57,-1.86,2.07,Item_BombUp,1
Enemy2,0,1.86,5.57,1.86,2.07,null,0
Enemy3,4,-4.4,5.4,-4.4,3,Item_PowerUp,2
Enemy1,7,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,8,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy1,9,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,10,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy1,11,3.54,2.9,-9.5,-3.8,Item_PowerUp,1
Enemy1,12,-9.5,2.9,9.5,-3.8,Item_BombUp,1
Enemy2,14,-9.3,3,-5,3,null,0
Enemy2,16,-9.3,1,-7.5,1,null,0
Enemy2,18,3,3,0,3,Item_BombUp,1
Enemy2,20,3,1,2,1,null,0
Enemy3,25,-2.4,5.4,-2.4,3,Item_BombUp,1
Boss2,0,5.15,4.95,-1.97,2.42,null,0
